"2010 SOC Code","2018 SOC Code","2018 Census Code","O*NET-SOC 2010 Code","O*NET-SOC 2010 Title","2010 SOC Title","2010 Census Title","2010 Census Code","2018 SOC Title","2018 Census Title","O.NET.SOC.2019.Code","O.NET.SOC.2019.Title","2018 STEM Category","education_stw_2010","knowledge_stw_2010","rothwell_stw_2010"
"11-1011","11-1011","0010","11-1011.00","Chief Executives","Chief Executives","Chief executives","0010","Chief Executives","Chief executives","11-1011.00","Chief Executives","Non-STEM","No","No","Non-STW"
"11-1011","11-1011","0010","11-1011.03","Chief Sustainability Officers","Chief Executives","Chief executives","0010","Chief Executives","Chief executives","11-1011.03","Chief Sustainability Officers","Non-STEM","No","No","Non-STW"
"11-1021","11-1021","0020","11-1021.00","General and Operations Managers","General and Operations Managers","General and operations managers","0020","General and Operations Managers","General and operations managers","11-1021.00","General and Operations Managers","Non-STEM","Yes","No","Non-STW"
"11-1031","11-1031","0030","11-1031.00","Legislators","Legislators","Legislators","0030","Legislators","Legislators","11-1031.00","Legislators","Non-STEM",NA,NA,NA
"11-2011","11-2011","0040","11-2011.00","Advertising and Promotions Managers","Advertising and Promotions Managers","Advertising and promotions managers","0040","Advertising and Promotions Managers","Advertising and promotions managers","11-2011.00","Advertising and Promotions Managers","Non-STEM","No","No","Non-STW"
"11-2011","11-2011","0040","11-2011.01","Green Marketers","Advertising and Promotions Managers","Advertising and promotions managers","0040","Advertising and Promotions Managers","Advertising and promotions managers","11-2011.00","Advertising and Promotions Managers","Non-STEM","No","No","Non-STW"
"11-2021","11-2021","0051","11-2021.00","Marketing Managers","Marketing Managers","Marketing and sales managers","0050","Marketing Managers","Marketing managers","11-2021.00","Marketing Managers","Non-STEM","No","No","Non-STW"
"11-2022","11-2022","0052","11-2022.00","Sales Managers","Sales Managers","Marketing and sales managers","0050","Sales Managers","Sales managers","11-2022.00","Sales Managers","Non-STEM","No","No","Non-STW"
"11-2031","11-2032","0060","11-2031.00","Public Relations and Fundraising Managers","Public Relations and Fundraising Managers","Public relations and fundraising managers","0060","Public Relations Managers","Public relations and fundraising managers","11-2032.00","Public Relations Managers","Non-STEM","No","No","Non-STW"
"11-2031","11-2032","0060","11-2031.00","Public Relations and Fundraising Managers","Public Relations and Fundraising Managers","Public relations and fundraising managers","0060","Public Relations Managers","Public relations and fundraising managers","11-2033.00","Fundraising Managers","Non-STEM","No","No","Non-STW"
"11-2031","11-2033","0060","11-2031.00","Public Relations and Fundraising Managers","Public Relations and Fundraising Managers","Public relations and fundraising managers","0060","Fundraising Managers","Public relations and fundraising managers","11-2032.00","Public Relations Managers","Non-STEM","No","No","Non-STW"
