"State","date","Year","Month","jolts","bgt","diff","per_diff","Month2","time"
"Alabama","2010-01",2010,1,38000,4688,33312,156.071964017991,"01",2010-01-01
"Alabama","2010-10",2010,10,46000,16997,29003,92.0774005111355,"10",2010-10-01
"Alabama","2010-11",2010,11,44000,12425,31575,111.918475852902,"11",2010-11-01
"Alabama","2010-12",2010,12,43000,14182,28818,100.793956140044,"12",2010-12-01
"Alabama","2010-02",2010,2,38000,7088,30912,137.118523775727,"02",2010-02-01
"Alabama","2010-03",2010,3,40000,12015,27985,107.60357589157,"03",2010-03-01
"Alabama","2010-04",2010,4,42000,11427,30573,114.447751137066,"04",2010-04-01
"Alabama","2010-05",2010,5,46000,14940,31060,101.936330817197,"05",2010-05-01
"Alabama","2010-06",2010,6,46000,12834,33166,112.744331508991,"06",2010-06-01
"Alabama","2010-07",2010,7,45000,14710,30290,101.457042371462,"07",2010-07-01
"Alabama","2010-08",2010,8,44000,17136,26864,87.882753205967,"08",2010-08-01
"Alabama","2010-09",2010,9,46000,14701,31299,103.125154445561,"09",2010-09-01
"Alabama","2011-01",2011,1,43000,11424,31576,116.037042481258,"01",2011-01-01
"Alabama","2011-10",2011,10,59000,15244,43756,117.870804374764,"10",2011-10-01
"Alabama","2011-11",2011,11,57000,12173,44827,129.6083732092,"11",2011-11-01
"Alabama","2011-12",2011,12,55000,9258,45742,142.369821656447,"12",2011-12-01
"Alabama","2011-02",2011,2,46000,13079,32921,111.447384011239,"02",2011-02-01
"Alabama","2011-03",2011,3,46000,21774,24226,71.4905420957889,"03",2011-03-01
"Alabama","2011-04",2011,4,47000,16125,30875,97.8217821782178,"04",2011-04-01
"Alabama","2011-05",2011,5,47000,18034,28966,89.0795583848448,"05",2011-05-01
"Alabama","2011-06",2011,6,49000,17346,31654,95.4209748892171,"06",2011-06-01
"Alabama","2011-07",2011,7,56000,21591,34409,88.693276282043,"07",2011-07-01
"Alabama","2011-08",2011,8,57000,23884,33116,81.8851688838336,"08",2011-08-01
"Alabama","2011-09",2011,9,64000,16498,47502,118.020323486298,"09",2011-09-01
"Alabama","2012-01",2012,1,60000,17603,42397,109.266394340425,"01",2012-01-01
"Alabama","2012-10",2012,10,54000,10117,43883,136.884133693092,"10",2012-10-01
