"","state","year","per_diff"
"1","Alabama",2010,108.72705220795
"2","Alabama",2011,104.4636017655
"3","Alabama",2012,120.137719622781
"4","Alabama",2013,90.8474521323217
"5","Alabama",2014,100.713656406644
"6","Alabama",2015,112.127397918735
"7","Alabama",2016,95.2331678310998
"8","Alabama",2017,103.980962408348
"9","Alabama",2018,110.048504434951
"10","Alabama",2019,98.3688410812644
"11","Alaska",2010,62.6798938102557
"12","Alaska",2011,85.8299788009432
"13","Alaska",2012,65.023640289002
"14","Alaska",2013,87.6216177828279
"15","Alaska",2014,79.7313144861372
"16","Alaska",2015,97.6575191713103
"17","Alaska",2016,100.352880963284
"18","Alaska",2017,105.340403660014
"19","Alaska",2018,115.164442740133
"20","Alaska",2019,113.582476546644
"21","Arizona",2010,89.5659603422213
"22","Arizona",2011,68.1949318483871
"23","Arizona",2012,98.9529460519287
"24","Arizona",2013,88.6928628708901
"25","Arizona",2014,89.1013466824961
"26","Arizona",2015,81.6203295341593
"27","Arizona",2016,86.5198381049788
"28","Arizona",2017,90.0065059243341
"29","Arizona",2018,76.9445237249271
"30","Arizona",2019,68.9198264378494
"31","Arkansas",2010,113.451279423732
"32","Arkansas",2011,116.26476501223
"33","Arkansas",2012,106.585745851277
"34","Arkansas",2013,91.3145470785116
"35","Arkansas",2014,98.4033797426271
"36","Arkansas",2015,107.948421480255
"37","Arkansas",2016,84.5370030534756
"38","Arkansas",2017,114.70861354264
"39","Arkansas",2018,115.045398461357
"40","Arkansas",2019,129.202426261758
"41","California",2010,96.6234657124689
"42","California",2011,93.2583257033031
"43","California",2012,83.1445676436085
"44","California",2013,81.9079912204122
"45","California",2014,95.733025890494
"46","California",2015,91.7632051987201
"47","California",2016,91.8224003823672
"48","California",2017,100.311170889185
"49","California",2018,76.3724697627205
"50","California",2019,58.2316189279024
"51","Colorado",2010,86.8722018290225
"52","Colorado",2011,65.5888597061994
"53","Colorado",2012,64.9444063794672
"54","Colorado",2013,67.2206708924577
"55","Colorado",2014,78.3536044712688
"56","Colorado",2015,86.1242933622027
"57","Colorado",2016,88.2383958237819
"58","Colorado",2017,91.291174137505
"59","Colorado",2018,69.6167229772427
"60","Colorado",2019,58.9335240845157
"61","Connecticut",2010,85.2817971569479
"62","Connecticut",2011,64.3793754112193
"63","Connecticut",2012,73.4975535447277
"64","Connecticut",2013,57.8028594109833
"65","Connecticut",2014,72.5378016307396
"66","Connecticut",2015,84.6797635979352
"67","Connecticut",2016,63.8726767681009
"68","Connecticut",2017,91.8351258109545
"69","Connecticut",2018,89.7417783977423
"70","Connecticut",2019,92.4347243918768
"71","Delaware",2010,75.0999294615565
"72","Delaware",2011,87.2459793043262
"73","Delaware",2012,79.7144926037033
"74","Delaware",2013,83.4215182337305
"75","Delaware",2014,83.851899539838
"76","Delaware",2015,98.5941711669223
"77","Delaware",2016,82.064785639689
"78","Delaware",2017,75.657336726039
"79","Delaware",2018,102.564951561064
"80","Delaware",2019,113.127916145022
"81","District of Columbia",2010,46.4511343189335
"82","District of Columbia",2011,44.844915858103
"83","District of Columbia",2012,56.8344574661314
"84","District of Columbia",2013,37.5488647239936
"85","District of Columbia",2014,58.3036744190632
"86","District of Columbia",2015,55.6627495767339
"87","District of Columbia",2016,67.084575472995
"88","District of Columbia",2017,71.3207772106991
"89","District of Columbia",2018,21.4450640705384
"90","District of Columbia",2019,27.2441143144907
"91","Florida",2010,115.322417171558
"92","Florida",2011,108.621717561218
"93","Florida",2012,127.259738718848
"94","Florida",2013,104.642272157415
"95","Florida",2014,112.020434279421
"96","Florida",2015,110.856114261209
"97","Florida",2016,112.266242545416
"98","Florida",2017,113.270485859318
"99","Florida",2018,111.113694331701
"100","Florida",2019,93.3000911251458
"101","Georgia",2010,99.8969778367503
"102","Georgia",2011,74.6554477756323
"103","Georgia",2012,85.1200727547772
"104","Georgia",2013,85.8754642787657
"105","Georgia",2014,95.7316993002886
"106","Georgia",2015,110.337584120038
"107","Georgia",2016,105.342519173274
"108","Georgia",2017,108.138837613498
"109","Georgia",2018,110.473147788935
"110","Georgia",2019,93.4843204654321
"111","Hawaii",2010,102.865215745298
"112","Hawaii",2011,82.492823487662
"113","Hawaii",2012,69.9412480813
"114","Hawaii",2013,101.066528176064
"115","Hawaii",2014,98.5629080302415
"116","Hawaii",2015,119.952877233144
"117","Hawaii",2016,117.804908071573
"118","Hawaii",2017,118.537951125593
"119","Hawaii",2018,99.9062792877226
"120","Hawaii",2019,97.7137113703737
"121","Idaho",2010,123.292055382041
"122","Idaho",2011,104.856433888692
"123","Idaho",2012,82.9907197499839
"124","Idaho",2013,85.3317530343935
"125","Idaho",2014,94.0946421587798
"126","Idaho",2015,114.966298606049
"127","Idaho",2016,114.268907528816
"128","Idaho",2017,121.701443188419
"129","Idaho",2018,125.393632915757
"130","Idaho",2019,112.448063819179
"131","Illinois",2010,98.3619300961363
"132","Illinois",2011,96.6715711261633
"133","Illinois",2012,107.185682476017
"134","Illinois",2013,79.0982730151358
"135","Illinois",2014,81.4686762573648
