"","region","year","bgt","jolts"
"1","Midwest",2010,2338088,7176000
"2","Midwest",2011,3077476,8961000
"3","Midwest",2012,2999686,10177000
"4","Midwest",2013,4113172,10758000
"5","Midwest",2014,4574148,12614000
"6","Midwest",2015,4569421,14904000
"7","Midwest",2016,5417836,15490000
"8","Midwest",2017,5071706,17038000
"9","Midwest",2018,6185054,20189000
"10","Midwest",2019,6941118,19461000
"11","Northeast",2010,2459262,7164000
"12","Northeast",2011,2679012,7543000
"13","Northeast",2012,2650406,8368000
"14","Northeast",2013,3294967,8559000
"15","Northeast",2014,3337023,9713000
"16","Northeast",2015,3626315,11261000
"17","Northeast",2016,4121506,11911000
"18","Northeast",2017,4131044,12964000
"19","Northeast",2018,4683891,14445000
"20","Northeast",2019,5306150,14345000
"21","South",2010,3898943,12708000
"22","South",2011,4759851,15227000
"23","South",2012,4636001,17815000
"24","South",2013,6152162,18461000
"25","South",2014,6448430,21729000
"26","South",2015,7043492,25449000
"27","South",2016,7992298,26391000
"28","South",2017,7431347,26568000
"29","South",2018,9983535,31143000
"30","South",2019,11830095,32143000
"31","West",2010,2985880,8628000
"32","West",2011,3664447,9419000
"33","West",2012,3798575,9710000
"34","West",2013,4503674,11007000
"35","West",2014,4658632,13189000
"36","West",2015,5578850,15185000
"37","West",2016,5958097,16490000
"38","West",2017,5615668,16820000
"39","West",2018,7904106,19454000
"40","West",2019,9360375,19866000
